<omega>	pairs	n_of_seqs	file
0	15	6	my_31096_TR22634-c0_g1_i4_aln.fna
0	6	4	my_34253_TR21147-c0_g1_i1_aln.fna
0.45	21	7	my_97847_TR15334-c0_g1_i1_aln.fna
0.11	55	11	my_27525_TR25797-c0_g1_i1_aln.fna
0	10	5	my_16543_TR7040-c0_g1_i1_aln.fna
0.08	10	5	my_33142_TR35291-c0_g1_i1_aln.fna
0.01	21	7	my_28080_TR5857-c0_g1_i1_aln.fna
0	105	15	my_14610_TR17310-c0_g1_i1_aln.fna
0.01	120	16	my_16189_TR35621-c0_g2_i1_aln.fna
0	6	4	my_26309_TR34379-c0_g1_i1_aln.fna
0.43	21	7	my_35312_TR23263-c0_g1_i1_aln.fna
0.66	10	5	my_250004_TR22156-c0_g1_i1_aln.fna
0	6	4	my_338485_TR37974-c0_g1_i1_aln.fna
0	21	7	my_104197_TR24126-c0_g1_i1_aln.fna
0.46	6	4	my_88526_TR35856-c0_g1_i1_aln.fna
0	6	4	my_29550_TR13437-c0_g1_i1_aln.fna
0.09	45	10	my_33384_TR6677-c0_g1_i1_aln.fna
0	6	4	my_60930_TR885-c0_g1_i1_aln.fna
0.08	120	16	my_7671_TR13429-c0_g1_i1_aln.fna
0	10	5	my_90899_TR36205-c0_g1_i1_aln.fna
0.3	28	8	my_51539_TR12864-c0_g1_i1_aln.fna
0.14	6	4	my_24530_TR21462-c0_g1_i1_aln.fna
0	6	4	my_34595_TR13769-c0_g1_i1_aln.fna
0	15	6	my_60780_TR8412-c0_g1_i1_aln.fna
0	15	6	my_27818_TR5376-c2_g1_i1_aln.fna
0	120	16	my_20332_TR20595-c0_g1_i1_aln.fna
0	120	16	my_17351_TR25125-c0_g2_i1_aln.fna
0	15	6	my_35634_TR5305-c0_g1_i1_aln.fna
0	15	6	my_71192_TR20447-c0_g1_i1_aln.fna
0.05	36	9	my_29639_TR25904-c0_g1_i1_aln.fna
0	10	5	my_20136_TR13357-c0_g1_i1_aln.fna
0	6	4	my_138945_TR15141-c0_g1_i1_aln.fna
0.27	15	6	my_219157_TR8557-c1_g1_i1_aln.fna
0.22	6	4	my_99030_TR2751-c0_g1_i1_aln.fna
0	10	5	my_22466_TR27279-c0_g1_i1_aln.fna
0	15	6	my_33066_TR21263-c0_g1_i1_aln.fna
0.08	45	10	my_95221_TR8890-c0_g1_i1_aln.fna
0	6	4	my_59379_TR987-c0_g1_i1_aln.fna
0.01	55	11	my_55879_TR14656-c0_g1_i1_aln.fna
0	36	9	my_24097_TR27640-c0_g1_i1_aln.fna
0.55	78	13	my_32350_TR16541-c0_g1_i1_aln.fna
0.27	15	6	my_63350_TR33664-c0_g2_i1_aln.fna
0.56	28	8	my_69090_TR23807-c0_g3_i3_aln.fna
0	105	15	my_15804_TR9861-c0_g1_i1_aln.fna
1.45	6	4	my_66370_TR27079-c0_g1_i1_aln.fna
0	105	15	my_21299_TR28999-c0_g3_i1_aln.fna
0.23	21	7	my_66288_TR19122-c0_g1_i1_aln.fna
0.83	6	4	my_106028_TR12523-c0_g1_i1_aln.fna
0.79	15	6	my_24592_TR1263-c0_g1_i1_aln.fna
0.49	66	12	my_22273_TR36557-c0_g3_i1_aln.fna
0.11	10	5	my_33398_TR8536-c0_g1_i1_aln.fna
0.33	10	5	my_70776_TR22854-c0_g3_i1_aln.fna
0	15	6	my_60142_TR25987-c0_g1_i1_aln.fna
0.34	15	6	my_84423_TR3658-c0_g1_i1_aln.fna
0	10	5	my_210318_TR5607-c1_g1_i11_aln.fna
0	21	7	my_101653_TR33125-c0_g1_i1_aln.fna
0.1	6	4	my_31931_TR6495-c0_g1_i1_aln.fna
0	15	6	my_65238_TR27163-c2_g1_i1_aln.fna
0	10	5	my_138866_TR2720-c0_g1_i1_aln.fna
0	6	4	my_98578_TR2017-c0_g1_i1_aln.fna
0	21	7	my_25470_TR15676-c0_g1_i1_aln.fna
0	15	6	my_29850_TR16492-c0_g1_i1_aln.fna
0	36	9	my_26901_TR29261-c0_g1_i1_aln.fna
0	6	4	my_137063_TR5369-c0_g3_i1_aln.fna
0.13	66	12	my_19063_TR17429-c0_g1_i1_aln.fna
0	10	5	my_68505_TR9183-c0_g1_i1_aln.fna
0.07	15	6	my_96276_TR19758-c0_g1_i1_aln.fna
0	10	5	my_88951_TR30395-c0_g1_i1_aln.fna
0	6	4	my_140836_TR913-c1_g1_i1_aln.fna
0.19	10	5	my_28380_TR14415-c0_g1_i1_aln.fna
0	6	4	my_139197_TR26477-c0_g1_i1_aln.fna
0	28	8	my_20315_TR13079-c0_g1_i1_aln.fna
0	120	16	my_8012_TR19059-c0_g1_i1_aln.fna
0	45	10	my_16440_TR13137-c0_g1_i1_aln.fna
0	10	5	my_94946_TR12029-c0_g1_i1_aln.fna
0	6	4	my_61830_TR23819-c0_g1_i1_aln.fna
0.18	28	8	my_25993_TR11686-c0_g1_i2_aln.fna
0	28	8	my_27052_TR16658-c0_g1_i1_aln.fna
0.46	10	5	my_16123_TR34349-c0_g1_i1_aln.fna
0	6	4	my_33859_TR26077-c0_g2_i1_aln.fna
0.42	78	13	my_70074_TR33542-c0_g1_i1_aln.fna
0	6	4	my_69768_TR9939-c0_g1_i1_aln.fna
0.14	36	9	my_127328_TR20034-c0_g1_i1_aln.fna
0.02	10	5	my_61325_TR10297-c0_g1_i1_aln.fna
0	55	11	my_26514_TR33640-c1_g1_i1_aln.fna
0.27	45	10	my_27275_TR17031-c0_g1_i1_aln.fna
0.55	15	6	my_99371_TR19426-c0_g1_i1_aln.fna
0	28	8	my_93370_TR3743-c0_g1_i1_aln.fna
0.71	10	5	my_27343_TR30161-c4_g1_i1_aln.fna
0	6	4	my_68470_TR3622-c0_g3_i1_aln.fna
0.59	55	11	my_14777_TR28836-c0_g1_i1_aln.fna
0.01	15	6	my_52526_TR22852-c0_g1_i1_aln.fna
0.04	6	4	my_462583_TR32761-c0_g1_i1_aln.fna
0	15	6	my_216202_TR6687-c1_g1_i1_aln.fna
1.15	6	4	my_216713_TR30543-c0_g1_i1_aln.fna
0	28	8	my_28050_TR2325-c0_g1_i1_aln.fna
0	6	4	my_176066_TCONS_00018744_aln.fna
0.28	6	4	my_98274_TR23990-c2_g1_i1_aln.fna
0.54	6	4	my_462776_TR34955-c0_g1_i1_aln.fna
0	15	6	my_69289_TR26119-c0_g5_i1_aln.fna
0.4	36	9	my_31365_TR15292-c0_g1_i1_aln.fna
0	10	5	my_133581_TR34512-c1_g7_i1_aln.fna
0	6	4	my_32881_TR21717-c0_g1_i1_aln.fna
0.63	15	6	my_128910_TR33484-c2_g1_i15_aln.fna
0	28	8	my_25497_TR20434-c0_g1_i1_aln.fna
0.47	21	7	my_62361_TR7799-c1_g1_i1_aln.fna
0.26	10	5	my_69225_TR14258-c0_g1_i1_aln.fna
0.8	10	5	my_131123_TR26201-c0_g1_i1_aln.fna
0.39	15	6	my_24969_TR16130-c0_g1_i1_aln.fna
0	45	10	my_24731_TR32270-c0_g2_i1_aln.fna
0	120	16	my_16889_TR29062-c0_g1_i1_aln.fna
0.44	15	6	my_180177_TCONS_00014972_aln.fna
0.08	10	5	my_52574_TR13112-c0_g1_i1_aln.fna
0	28	8	my_69700_TR34062-c0_g1_i1_aln.fna
0	10	5	my_104079_TR35905-c0_g1_i1_aln.fna
0	6	4	my_59537_TR2350-c0_g1_i1_aln.fna
0.48	6	4	my_54611_TR5011-c0_g1_i1_aln.fna
0	6	4	my_97466_TR23493-c0_g1_i1_aln.fna
0	15	6	my_249439_TR29732-c0_g1_i1_aln.fna
0.09	21	7	my_24166_TR7331-c0_g1_i1_aln.fna
0	6	4	my_93920_TR9794-c0_g1_i1_aln.fna
0.06	15	6	my_53758_TR19088-c0_g1_i1_aln.fna
0	6	4	my_251770_TR25548-c0_g1_i1_aln.fna
0.21	36	9	my_24789_TR8898-c0_g1_i1_aln.fna
0.35	6	4	my_128297_TR12169-c0_g1_i1_aln.fna
0	120	16	my_15274_TR35095-c0_g1_i1_aln.fna
0.66	28	8	my_23550_TR30366-c0_g1_i1_aln.fna
0	6	4	my_130734_TR5906-c0_g1_i1_aln.fna
0	10	5	my_137583_TR28063-c0_g2_i1_aln.fna
0	10	5	my_182440_TCONS_00049369_aln.fna
0.2	66	12	my_34415_TR17121-c0_g2_i1_aln.fna
0.52	10	5	my_26595_TR10415-c0_g1_i1_aln.fna
0.31	6	4	my_99886_TR17335-c0_g1_i1_aln.fna
0	6	4	my_34578_TR11066-c0_g1_i1_aln.fna
0	6	4	my_99487_TR35976-c0_g1_i1_aln.fna
0.26	15	6	my_97762_TR1485-c0_g1_i1_aln.fna
0.29	10	5	my_26889_TR27307-c0_g1_i1_aln.fna
0	10	5	my_70284_TR34202-c0_g1_i1_aln.fna
0.88	21	7	my_137465_TR11978-c0_g1_i1_aln.fna
0.51	6	4	my_66725_TR32877-c0_g1_i1_aln.fna
0.54	28	8	my_98508_TR25302-c0_g1_i1_aln.fna
0	6	4	my_27026_TR12974-c0_g1_i1_aln.fna
0.44	10	5	my_60944_TR3353-c0_g1_i1_aln.fna
0	28	8	my_68528_TR15130-c0_g1_i1_aln.fna
0	10	5	my_179631_TCONS_00010435_aln.fna
0.19	10	5	my_184681_TCONS_00029081_aln.fna
0	120	16	my_34670_TR29155-c0_g1_i1_aln.fna
0	36	9	my_62158_TR6516-c0_g1_i1_aln.fna
0	120	16	my_10957_TR4384-c2_g3_i1_aln.fna
0	45	10	my_23422_TR32261-c0_g1_i1_aln.fna
0.47	45	10	my_23919_TR18320-c0_g2_i1_aln.fna
0	36	9	my_65975_TR12302-c1_g2_i1_aln.fna
0.55	36	9	my_28123_TR13784-c0_g1_i1_aln.fna
0	10	5	my_61933_TR4757-c0_g1_i1_aln.fna
0.4	21	7	my_141257_TR34719-c0_g1_i1_aln.fna
0	6	4	my_22582_TR25854-c1_g1_i1_aln.fna
0	10	5	my_26265_TR28193-c1_g1_i1_aln.fna
0.08	10	5	my_32484_TR29365-c2_g1_i1_aln.fna
0	10	5	my_62556_TR7632-c0_g1_i1_aln.fna
0.62	6	4	my_70453_TR28006-c0_g1_i1_aln.fna
0.09	6	4	my_214071_TR19787-c0_g1_i1_aln.fna
0.21	6	4	my_25941_TR1471-c0_g1_i1_aln.fna
0	28	8	my_100287_TR777-c0_g1_i1_aln.fna
0.99	21	7	my_65043_TR685-c0_g1_i1_aln.fna
0.64	28	8	my_29664_TR30719-c0_g1_i1_aln.fna
0.03	6	4	my_67100_TR622-c0_g1_i2_aln.fna
0	6	4	my_24482_TR6368-c0_g1_i1_aln.fna
0	15	6	my_116915_TR9581-c0_g1_i1_aln.fna
0.34	6	4	my_28956_TR33190-c0_g1_i1_aln.fna
0.5	10	5	my_56553_TR5865-c0_g1_i1_aln.fna
0.94	6	4	my_138580_TR19465-c0_g1_i1_aln.fna
0	6	4	my_28606_TR13851-c0_g1_i1_aln.fna
0	6	4	my_32057_TR22279-c0_g1_i1_aln.fna
0	15	6	my_30796_TR19700-c0_g1_i1_aln.fna
0.22	66	12	my_20830_TR7003-c0_g1_i1_aln.fna
0.48	36	9	my_58979_TR17154-c0_g1_i1_aln.fna
0	6	4	my_66003_TR15681-c0_g1_i1_aln.fna
0	10	5	my_183672_TCONS_00047730_aln.fna
0	6	4	my_24272_TR30803-c0_g1_i1_aln.fna
0.13	36	9	my_31976_TR12931-c0_g1_i1_aln.fna
0.02	66	12	my_16772_TR2268-c0_g1_i1_aln.fna
0	15	6	my_28679_TR24857-c0_g1_i1_aln.fna
0	10	5	my_102466_TR20743-c0_g1_i1_aln.fna
0.34	6	4	my_216626_TR19363-c0_g1_i2_aln.fna
0	6	4	my_133930_TR17129-c1_g1_i1_aln.fna
0	6	4	my_94913_TR5084-c0_g1_i1_aln.fna
0	10	5	my_35715_TR17919-c1_g1_i1_aln.fna
0	15	6	my_65243_TR27902-c0_g1_i1_aln.fna
0.18	55	11	my_21848_TR34121-c0_g1_i1_aln.fna
0	6	4	my_70345_TR11087-c0_g1_i1_aln.fna
0.72	10	5	my_61189_TR20434-c0_g1_i1_aln.fna
0	6	4	my_289064_TR11060-c0_g1_i5_aln.fna
0	15	6	my_140843_TR1742-c0_g1_i1_aln.fna
0.14	10	5	my_24167_TR7381-c0_g1_i1_aln.fna
0	28	8	my_7425_TR29383-c0_g1_i1_aln.fna
0.27	10	5	my_289133_TR20706-c0_g1_i1_aln.fna
0.03	15	6	my_55391_TR7501-c0_g1_i1_aln.fna
0.26	15	6	my_88267_TR20437-c0_g1_i1_aln.fna
0	6	4	my_96113_TR20273-c1_g1_i4_aln.fna
1.08	15	6	my_25499_TR21243-c0_g2_i1_aln.fna
0.07	6	4	my_101077_TR940-c0_g1_i1_aln.fna
0.19	6	4	my_207613_TR33698-c0_g1_i1_aln.fna
0	10	5	my_61027_TR22347-c9_g1_i1_aln.fna
0	10	5	my_33586_TR11830-c0_g2_i1_aln.fna
0	55	11	my_31205_TR35068-c0_g1_i1_aln.fna
0	78	13	my_25330_TR20124-c0_g1_i1_aln.fna
0.43	6	4	my_289040_TR5870-c0_g1_i1_aln.fna
0	21	7	my_57858_TR10193-c0_g1_i1_aln.fna
0.39	78	13	my_8599_TR10197-c0_g1_i2_aln.fna
0	120	16	my_12243_TR21655-c0_g1_i1_aln.fna
0.45	21	7	my_184762_TCONS_00010760_aln.fna
0.57	10	5	my_35402_TR1089-c0_g1_i1_aln.fna
0.27	6	4	my_57374_TR6064-c0_g1_i1_aln.fna
0	6	4	my_70911_TR6742-c2_g1_i1_aln.fna
0	15	6	my_258596_TR5449-c6_g10_i16_aln.fna
0	6	4	my_291889_TR31816-c0_g1_i1_aln.fna
0.36	10	5	my_35786_TR27832-c1_g16_i1_aln.fna
0.35	66	12	my_26047_TR20646-c0_g1_i1_aln.fna
0.08	15	6	my_99685_TR25102-c0_g1_i1_aln.fna
0	6	4	my_70975_TR19466-c0_g1_i1_aln.fna
0.51	21	7	my_29463_TR693-c0_g1_i1_aln.fna
0.26	21	7	my_103038_TR8868-c0_g1_i1_aln.fna
0	36	9	my_187911_TCONS_00041082_aln.fna
0.11	6	4	my_182579_TCONS_00019691_aln.fna
0	15	6	my_218655_TR5486-c1_g2_i3_aln.fna
0.04	36	9	my_13625_TR16641-c0_g1_i1_aln.fna
0	6	4	my_33669_TR30790-c0_g1_i1_aln.fna
0	105	15	my_13258_TR31423-c1_g1_i1_aln.fna
0	15	6	my_20532_TR21584-c0_g1_i1_aln.fna
0	120	16	my_7660_TR32118-c0_g1_i1_aln.fna
0	6	4	my_331079_TR34979-c0_g1_i1_aln.fna
0	6	4	my_452782_TR31760-c1_g1_i1_aln.fna
0.03	91	14	my_26523_TR34519-c0_g1_i1_aln.fna
0.38	15	6	my_137210_TR21822-c0_g1_i1_aln.fna
0	6	4	my_32044_TR20888-c0_g1_i1_aln.fna
0	120	16	my_23143_TR32517-c0_g1_i1_aln.fna
0.13	15	6	my_59232_TR5761-c0_g1_i1_aln.fna
0.03	120	16	my_15719_TR27483-c0_g3_i1_aln.fna
0.58	6	4	my_31943_TR8447-c0_g1_i1_aln.fna
1.12	28	8	my_65806_TR26389-c0_g1_i1_aln.fna
1.8	15	6	my_35762_TR24165-c0_g1_i1_aln.fna
0	28	8	my_60198_TR2555-c0_g1_i1_aln.fna
0	6	4	my_215336_TR7311-c0_g1_i1_aln.fna
0	45	10	my_25353_TR24926-c0_g1_i1_aln.fna
0.59	6	4	my_160368_TCONS_00045591_aln.fna
0.65	10	5	my_132217_TR17564-c0_g2_i1_aln.fna
0	105	15	my_22396_TR6392-c0_g1_i3_aln.fna
0	45	10	my_11278_TR27384-c0_g1_i1_aln.fna
0	10	5	my_32464_TR26892-c0_g1_i1_aln.fna
0.2	15	6	my_25193_TR26390-c0_g1_i1_aln.fna
0	10	5	my_65783_TR22994-c0_g1_i1_aln.fna
0	10	5	my_58916_TR35510-c0_g1_i1_aln.fna
0.1	120	16	my_11997_TR26245-c0_g1_i1_aln.fna
0	6	4	my_135165_TR12918-c0_g1_i1_aln.fna
1.33	15	6	my_138202_TR26070-c0_g1_i1_aln.fna
0	6	4	my_28467_TR27962-c0_g1_i1_aln.fna
0.45	28	8	my_27735_TR27191-c0_g1_i1_aln.fna
0.23	21	7	my_47824_TR14994-c0_g1_i1_aln.fna
0.08	15	6	my_25568_TR36033-c0_g1_i1_aln.fna
0	28	8	my_34925_TR34085-c0_g1_i1_aln.fna
0.04	10	5	my_133241_TR14389-c0_g1_i1_aln.fna
0	6	4	my_187318_TCONS_00022138_aln.fna
0	28	8	my_100479_TR29895-c4_g8_i2_aln.fna
0	36	9	my_24130_TR35641-c0_g1_i1_aln.fna
0.3	55	11	my_24909_TR35665-c0_g1_i1_aln.fna
0.43	10	5	my_22676_TR17544-c0_g1_i1_aln.fna
0	6	4	my_219060_TR21438-c0_g1_i1_aln.fna
0	15	6	my_98169_TR4334-c0_g1_i1_aln.fna
0	15	6	my_217932_TR20800-c0_g1_i1_aln.fna
0	15	6	my_101259_TR23020-c0_g1_i1_aln.fna
0	21	7	my_68677_TR5573-c0_g2_i1_aln.fna
0.34	10	5	my_97075_TR25257-c0_g1_i1_aln.fna
0	15	6	my_31225_TR36527-c0_g1_i1_aln.fna
0.01	10	5	my_65233_TR26753-c0_g1_i1_aln.fna
0.12	15	6	my_65561_TR33375-c1_g3_i10_aln.fna
0.31	6	4	my_336143_TR1565-c0_g1_i1_aln.fna
0.21	28	8	my_69072_TR20035-c0_g1_i1_aln.fna
0.27	120	16	my_15761_TR19082-c0_g5_i1_aln.fna
0	15	6	my_64164_TR12487-c0_g1_i1_aln.fna
0.72	15	6	my_68885_TR16263-c0_g1_i1_aln.fna
0.45	6	4	my_256099_TR5752-c0_g1_i1_aln.fna
1.03	6	4	my_94804_TR13171-c0_g2_i1_aln.fna
0	15	6	my_24277_TR32016-c0_g1_i1_aln.fna
0	6	4	my_61255_TR32487-c0_g1_i1_aln.fna
0	66	12	my_24419_TR26223-c0_g1_i1_aln.fna
0.39	6	4	my_252166_TR6733-c0_g1_i1_aln.fna
0	6	4	my_98390_TR7776-c0_g1_i1_aln.fna
0	6	4	my_96129_TR24063-c0_g1_i1_aln.fna
0	6	4	my_106562_TR29654-c0_g1_i1_aln.fna
1.1	15	6	my_88945_TR27604-c0_g1_i1_aln.fna
0.37	21	7	my_12715_TR17766-c0_g2_i1_aln.fna
0	120	16	my_9205_TR28960-c0_g1_i1_aln.fna
0.43	28	8	my_104998_TR9560-c0_g1_i1_aln.fna
0.28	28	8	my_23447_TR2986-c0_g1_i1_aln.fna
0.32	15	6	my_58471_TR28400-c0_g1_i1_aln.fna
0	6	4	my_214464_TR4444-c0_g1_i1_aln.fna
0.08	120	16	my_4237_TR31632-c0_g1_i1_aln.fna
0.49	15	6	my_63349_TR33467-c0_g1_i1_aln.fna
0	36	9	my_53446_TR30100-c0_g1_i1_aln.fna
0.54	15	6	my_32563_TR2375-c0_g2_i1_aln.fna
0.09	120	16	my_14403_TR885-c0_g1_i1_aln.fna
1.34	6	4	my_134453_TR26450-c0_g1_i1_aln.fna
0.66	21	7	my_67883_TR15553-c0_g1_i1_aln.fna
0	6	4	my_34666_TR28103-c0_g1_i1_aln.fna
0.44	66	12	my_52119_TR22262-c0_g1_i1_aln.fna
0	6	4	my_35647_TR8048-c0_g1_i1_aln.fna
0.37	10	5	my_32751_TR33647-c0_g1_i1_aln.fna
0.38	21	7	my_135216_TR19093-c2_g3_i1_aln.fna
1.2	6	4	my_70128_TR5137-c0_g1_i1_aln.fna
0.02	21	7	my_102374_TR9507-c0_g1_i1_aln.fna
0	10	5	my_282173_TR14643-c1_g1_i1_aln.fna
0	10	5	my_257642_TR1111-c0_g1_i1_aln.fna
0	120	16	my_14282_TR2509-c0_g1_i1_aln.fna
1.72	10	5	my_136936_TR26445-c0_g1_i6_aln.fna
0	10	5	my_255978_TR21860-c0_g1_i1_aln.fna
0.22	6	4	my_51376_TR20384-c0_g1_i1_aln.fna
0	6	4	my_128999_TR20217-c1_g1_i1_aln.fna
0.16	10	5	my_29634_TR25415-c0_g1_i1_aln.fna
0	15	6	my_22541_TR10866-c0_g1_i1_aln.fna
0.74	15	6	my_132769_TR1188-c1_g1_i1_aln.fna
1	28	8	my_61752_TR11104-c0_g1_i1_aln.fna
0.19	21	7	my_58273_TR12964-c0_g1_i1_aln.fna
0.58	10	5	my_69889_TR33681-c0_g1_i1_aln.fna
0.25	15	6	my_62248_TR24759-c0_g1_i1_aln.fna
0	6	4	my_66655_TR25181-c4_g1_i1_aln.fna
0.88	10	5	my_99701_TR27865-c0_g1_i1_aln.fna
0	28	8	my_25481_TR17094-c0_g1_i1_aln.fna
0.2	21	7	my_70700_TR4653-c0_g2_i1_aln.fna
0.04	15	6	my_54158_TR28880-c0_g1_i1_aln.fna
0	10	5	my_69234_TR16866-c1_g1_i1_aln.fna
0	10	5	my_33075_TR22205-c0_g2_i1_aln.fna
0.5	15	6	my_134816_TR648-c0_g1_i1_aln.fna
0	6	4	my_185674_TCONS_00004116_aln.fna
0.39	15	6	my_33007_TR9734-c0_g1_i2_aln.fna
0	28	8	my_29384_TR24321-c0_g1_i1_aln.fna
0.02	6	4	my_69132_TR33352-c0_g1_i1_aln.fna
0	10	5	my_104081_TR339-c0_g1_i1_aln.fna
0.13	120	16	my_5688_TR33306-c0_g1_i1_aln.fna
0	28	8	my_25530_TR27655-c0_g1_i1_aln.fna
0	6	4	my_137880_TR28721-c0_g1_i1_aln.fna
0	6	4	my_30949_TR2476-c0_g1_i1_aln.fna
0	66	12	my_32356_TR17186-c0_g1_i1_aln.fna
0	6	4	my_35910_TR15237-c0_g1_i1_aln.fna
0	55	11	my_29043_TR9486-c2_g4_i1_aln.fna
0	120	16	my_11715_TR13596-c0_g1_i1_aln.fna
0	15	6	my_35036_TR14076-c0_g1_i1_aln.fna
0	15	6	my_23812_TR32159-c1_g1_i1_aln.fna
0.22	10	5	my_28441_TR25051-c0_g2_i10_aln.fna
0	6	4	my_70937_TR14866-c0_g1_i1_aln.fna
0	6	4	my_64718_TR19032-c0_g1_i1_aln.fna
0.35	15	6	my_70103_TR1877-c0_g1_i1_aln.fna
0	10	5	my_33321_TR31499-c0_g1_i1_aln.fna
0.09	10	5	my_59158_TR21887-c0_g1_i1_aln.fna
0.29	45	10	my_22816_TR24016-c0_g1_i1_aln.fna
0	120	16	my_22958_TR21710-c0_g2_i1_aln.fna
0.66	6	4	my_99231_TR33326-c0_g1_i1_aln.fna
0.35	6	4	my_65485_TR22449-c0_g1_i1_aln.fna
0	6	4	my_171053_TCONS_00033370_aln.fna
0	6	4	my_68771_TR24077-c0_g1_i1_aln.fna
0.47	105	15	my_31514_TR29811-c0_g1_i1_aln.fna
0	15	6	my_28104_TR9803-c0_g1_i1_aln.fna
112.33	15	6	my_138164_TR22069-c0_g1_i1_aln.fna
0.46	10	5	my_26725_TR34172-c1_g1_i1_aln.fna
0	66	12	my_22778_TR10235-c0_g1_i1_aln.fna
0.01	36	9	my_33293_TR26691-c0_g1_i1_aln.fna
0	6	4	my_63634_TR4446-c0_g1_i1_aln.fna
0	10	5	my_34802_TR13376-c0_g1_i1_aln.fna
0.6	66	12	my_28528_TR2710-c0_g1_i1_aln.fna
0.66	6	4	my_34330_TR1759-c0_g1_i1_aln.fna
0	6	4	my_27887_TR14875-c0_g1_i1_aln.fna
0.11	6	4	my_245369_TR31768-c0_g1_i1_aln.fna
0	10	5	my_103519_TR2944-c0_g1_i1_aln.fna
0.46	15	6	my_33939_TR2768-c2_g1_i1_aln.fna
0	10	5	my_173607_TCONS_00019690_aln.fna
0.46	28	8	my_53851_TR30233-c0_g1_i1_aln.fna
0	6	4	my_35553_TR27660-c0_g1_i1_aln.fna
0.33	6	4	my_98940_TR25607-c0_g1_i1_aln.fna
0.79	6	4	my_137363_TR598-c0_g1_i1_aln.fna
0	10	5	my_253573_TR37192-c0_g1_i1_aln.fna
0	45	10	my_33527_TR2229-c0_g1_i1_aln.fna
0.52	6	4	my_28616_TR15436-c0_g1_i1_aln.fna
0	6	4	my_19322_TR24027-c0_g1_i1_aln.fna
0	6	4	my_141636_TR23119-c0_g1_i1_aln.fna
0	10	5	my_32808_TR8911-c0_g1_i1_aln.fna
0.17	15	6	my_22521_TR4767-c0_g1_i1_aln.fna
0	15	6	my_62316_TR35-c0_g1_i1_aln.fna
0	45	10	my_29114_TR20389-c0_g1_i1_aln.fna
0	28	8	my_65463_TR19352-c0_g1_i1_aln.fna
0	6	4	my_105769_TR3161-c1_g1_i1_aln.fna
0	6	4	my_58284_TR16775-c0_g1_i1_aln.fna
0	6	4	my_215368_TR11057-c0_g1_i1_aln.fna
0.13	6	4	my_245987_TR10379-c0_g1_i1_aln.fna
0	10	5	my_100570_TR5723-c0_g2_i1_aln.fna
0.14	28	8	my_25752_TR303-c0_g1_i1_aln.fna
0	21	7	my_64235_TR24112-c0_g1_i1_aln.fna
0	6	4	my_187618_TCONS_00011909_aln.fna
0.56	10	5	my_103005_TR4731-c1_g1_i6_aln.fna
0	91	14	my_20683_TR20012-c0_g1_i1_aln.fna
0	10	5	my_101599_TR27056-c0_g1_i1_aln.fna
0	6	4	my_176534_TCONS_00008265_aln.fna
0	10	5	my_97945_TR31781-c0_g1_i1_aln.fna
0.37	6	4	my_33544_TR4681-c3_g5_i1_aln.fna
0.16	6	4	my_171120_TCONS_00028337_aln.fna
0	10	5	my_184811_TCONS_00041732_aln.fna
0	6	4	my_138139_TR19493-c0_g1_i1_aln.fna
0.2	28	8	my_95212_TR7082-c0_g2_i1_aln.fna
0	15	6	my_31505_TR29276-c0_g1_i1_aln.fna
0.27	28	8	my_23314_TR3758-c0_g1_i1_aln.fna
0	6	4	my_215244_TR31983-c0_g1_i1_aln.fna
0.05	36	9	my_51824_TR9562-c0_g3_i1_aln.fna
0	28	8	my_32688_TR24074-c0_g1_i1_aln.fna
0.01	45	10	my_28667_TR22464-c0_g1_i1_aln.fna
0.25	10	5	my_69083_TR22354-c0_g1_i1_aln.fna
0.34	6	4	my_136533_TR14215-c7_g2_i5_aln.fna
0.21	28	8	my_24584_TR35803-c0_g1_i1_aln.fna
0	45	10	my_58738_TR24830-c0_g1_i1_aln.fna
0.28	15	6	my_183225_TCONS_00023869_aln.fna
0.17	15	6	my_137054_TR3952-c0_g2_i1_aln.fna
0	6	4	my_181865_TCONS_00013710_aln.fna
0.29	6	4	my_210468_TR31652-c0_g1_i1_aln.fna
0.12	10	5	my_138222_TR29519-c0_g1_i1_aln.fna
0.22	120	16	my_14786_TR5384-c0_g1_i1_aln.fna
0.75	6	4	my_90545_TR33880-c0_g1_i1_aln.fna
0	120	16	my_13238_TR13700-c0_g1_i1_aln.fna
0.26	10	5	my_20224_TR17278-c0_g2_i1_aln.fna
0.26	36	9	my_30554_TR27169-c0_g1_i1_aln.fna
2.33	6	4	my_256849_TR884-c0_g1_i1_aln.fna
0.17	21	7	my_28742_TR34809-c0_g1_i1_aln.fna
0	21	7	my_30201_TR22198-c0_g1_i1_aln.fna
0	6	4	my_174837_TCONS_00001966_aln.fna
0	10	5	my_56529_TR33555-c0_g1_i1_aln.fna
0	105	15	my_27448_TR14006-c0_g1_i1_aln.fna
0.04	21	7	my_70225_TR25054-c1_g2_i1_aln.fna
0	120	16	my_22976_TR25666-c0_g1_i1_aln.fna
0	6	4	my_187198_TCONS_00017540_aln.fna
0.34	10	5	my_28965_TR34597-c0_g1_i1_aln.fna
0	91	14	my_11433_TR23817-c0_g1_i1_aln.fna
0.39	6	4	my_54946_TR8249-c0_g2_i1_aln.fna
0	6	4	my_34715_TR144-c1_g1_i1_aln.fna
0.15	6	4	my_28632_TR16761-c1_g1_i1_aln.fna
0.35	6	4	my_22699_TR24006-c0_g1_i1_aln.fna
